station_id,latitude,longitude,state_name,n_readings,mean_pm25,std_pm25
21-111-75,38.1936,-85.7119,Kentucky,16220,10.424346485819937,6.530148891003471
25-13-8,42.19438,-72.555112,Massachus,17207,6.674922996454938,6.218970301570811
27-3-1002,45.13768,-93.207615,Minnesota,16411,7.466979464992983,7.878429720134162
28-35-4,31.32389,-89.2922,Mississip,17418,10.67859685382935,6.6440904256623154
30-75-1,45.440295,-105.370283,Montana,14691,9.04165815805592,13.311571367834775
37-35-4,35.728889,-81.365556,North Car,16413,8.283312008773533,6.053294258856433
45-79-22,34.075687,-81.124988,South Car,8032,9.186367031872521,6.626976646502518
49-11-4,40.902967,-111.884467,Utah,17413,7.287176247631075,6.886016981367625
49-57-1003,41.303614,-111.987871,Utah,16885,6.35248445365709,6.507616718431871
6-67-12,38.683304,-121.164457,Californi,17091,6.971002281902778,8.731969900650691
12-31-98,30.135797,-81.633981,Florida,16286,8.142785214294502,4.482459159253997
12-99-2005,26.456944,-80.092778,Florida,17381,7.472182267993784,4.176440581839396
17-31-4007,42.060285,-87.863225,Illinois,17140,9.968798133022188,10.291873729890956
4-27-8011,32.690278,-114.61444,Arizona,16542,8.34542376979809,9.935723079212087
42-7-8,40.691857,-80.299211,Pennsylva,14171,9.248119398772157,9.906680299914427
48-215-1046,26.288622,-98.152066,Texas,12302,9.62420744594379,7.174848416703064
55-27-1,43.46611,-88.62111,Wisconsin,17427,8.807138348539656,10.941148013042588
6-73-77,32.6509,-116.365,Californi,16635,6.078713555755907,4.643301588040024
12-117-1002,28.746111,-81.310556,Florida,16867,7.320222920495607,4.392604469825422
2-110-4,58.388497,-134.567237,Alaska,16772,5.413856427378961,6.150120863013579
26-99-9,42.731394,-82.793463,Michigan,17111,9.968628367716672,10.916646894085991
27-21-3410,47.38443,-94.60166,Minnesota,16647,7.125434012134314,7.394218214827461
39-23-5,39.92882,-83.80949,Ohio,16460,9.95733900364523,8.713395459399452
41-13-100,44.299787,-120.844773,Oregon,9313,9.387780521851159,15.141841357276784
47-165-7,36.29756,-86.653137,Tennessee,15946,7.72186755299133,5.568310782103312
49-21-5,37.74743,-113.055525,Utah,17186,5.405603398114723,3.8679891604106684
6-37-9033,34.669739,-118.130511,Californi,8302,7.618164297759576,4.798902376508873
12-11-34,26.053889,-80.256944,Florida,17290,7.076506651243494,4.18259545602781
32-510-20,39.1447,-119.7661,Nevada,15054,6.297993888667464,13.872049141598708
33-15-14,43.075371,-70.748017,New Hamps,16903,6.409702419688827,4.293201076397324
37-123-1,35.263165,-79.836636,North Car,16140,8.859144981412639,6.628486817281828
37-129-2,34.364167,-77.838611,North Car,17246,6.268786965093347,4.855608278031126
47-145-4,35.939078,-84.542802,Tennessee,16006,7.670785955266781,6.784543690197868
8-31-26,39.77949,-105.00518,Colorado,17334,6.67707395869387,5.997324203777419
8-77-17,39.063798,-108.561173,Colorado,17360,4.876520737327174,4.215477571764183
28-59-6,30.378287,-88.53393,Mississip,17341,8.995922957153525,4.85331502869601
34-1-6,39.464872,-74.448736,New Jerse,16177,7.36590838845271,11.489151681469226
37-147-6,35.641276,-77.360126,North Car,16346,7.293717117337575,6.062818117082938
49-5-7,41.842649,-111.852199,Utah,17383,8.535632514525714,9.429415087906593
51-59-30,38.77335,-77.10468,Virginia,16905,8.817556935817793,9.81944979334645
18-39-8,41.657155,-85.968446,Indiana,16334,9.203881474225556,10.261294678938016
18-43-8,38.317813,-85.833322,Indiana,7396,8.704218496484565,9.166616301167739
23-9-103,44.37705,-68.2609,Maine,16666,4.093357734309347,3.8652014773252517
25-9-5005,42.770837,-71.10229,Massachus,16041,7.483130727510736,5.3885352988323305
26-161-8,42.240556,-83.599722,Michigan,17041,10.273270347984234,10.572249014101427
26-163-98,42.312158,-83.091943,Michigan,17337,11.989923285458923,10.668002785582718
30-53-18,48.391545,-115.553309,Montana,15919,13.31432878949678,11.589011029006121
35-1-1012,35.1852,-106.50815,New Mexic,17343,4.57533875338753,2.8872318668389463
42-115-215,41.867331,-75.686219,Pennsylva,10345,6.437448042532651,3.8601706819975474
42-45-109,39.818715,-75.413973,Pennsylva,15272,9.77303562074384,13.02178148376197
42-49-3,42.14175,-80.038611,Pennsylva,17422,8.137567443462288,7.981190584139854
47-163-1007,36.538761,-82.521599,Tennessee,16228,6.958664037466115,5.404718761565746
49-35-3014,40.709762,-112.00876,Utah,16093,7.6351581432920534,6.930217615774858
6-29-10,35.385574,-119.015009,Californi,16488,15.197313197476957,12.576015703777587
6-67-15,38.593322,-121.503795,Californi,16838,9.515203705903314,8.87749174625881
6-79-8002,35.49453,-120.66617,Californi,15576,5.529275808936826,5.46905287418967
6-83-2011,34.44551,-119.8284,Californi,15252,5.985903488067139,4.2620844887483464
18-97-81,39.788903,-86.214628,Indiana,17227,13.600783653567172,14.24691757410857
24-33-30,39.055277,-76.878333,Maryland,12434,7.127553482387003,8.807948945386899
25-13-18,42.120229,-72.584503,Massachus,14850,8.374134680134693,6.869068223898558
27-109-5008,43.996908,-92.450366,Minnesota,16665,8.852019201920186,8.495852375980121
38-17-1004,46.933754,-96.85535,North Dak,17003,9.824131035699592,10.252564381894738
53-73-19,48.760036,-122.456463,Washingto,15134,5.83685740716268,8.181085864644526
55-41-7,45.56498,-88.80859,Wisconsin,16752,6.723292741165227,8.43993067362987
13-139-3,34.2993,-83.8134,Georgia,17387,9.856214413067203,6.446635866996739
18-89-22,41.606662,-87.304943,Indiana,16331,8.880111444492085,8.573962421795398
24-23-2,39.70595,-79.012,Maryland,16054,5.8041609567708985,5.877634054182207
27-31-7810,47.972085,-89.69098,Minnesota,12990,4.024018475750562,5.521200164954664
28-47-8,30.390369,-89.049778,Mississip,17352,9.327541493775943,5.813030758977097
37-119-41,35.2401,-80.785683,North Car,17002,8.369721209269498,6.343350823448515
39-87-12,38.508075,-82.659241,Ohio,17333,8.954456816477235,6.682749493451768
48-257-5,32.564968,-96.317687,Texas,13808,8.347356604866743,5.714374482270482
53-61-1007,48.054315,-122.171529,Washingto,16769,9.028624247122666,11.33316445977535
6-85-6,37.338135,-121.849783,Californi,16014,8.321780941676034,7.472169320723151
6-97-4,38.403765,-122.818294,Californi,16170,6.0492888064316634,5.56811268125703
18-65-3,40.009544,-85.52347,Indiana,8115,10.46050523721499,11.923227590116024
21-111-51,38.06091,-85.89804,Kentucky,17269,10.538913660316178,7.491401874123882
26-147-5,42.953336,-82.456229,Michigan,16732,9.717051159454954,11.425041167310866
39-61-40,39.12886,-84.50404,Ohio,17302,10.06023003121022,8.076052524186315
4-23-4,31.337204,-110.936718,Arizona,16338,8.98947239564206,10.788949516687307
40-115-9004,36.922222,-94.838889,Oklahoma,8177,10.197419591537232,7.9841568564616585
40-31-651,34.63298,-98.42879,Oklahoma,16054,7.853070885760549,6.410408220848574
46-13-4,45.468596,-98.494061,South Dak,15457,6.3074594035065745,8.818497822851054
48-439-1006,32.759154,-97.342332,Texas,16685,9.946640695235248,9.295722251788137
53-33-2004,47.386111,-122.230278,Washingto,12468,8.807667629130574,9.947124131787778
55-25-41,43.10101,-89.35768,Wisconsin,17433,9.002283026444106,11.260737034079337
56-29-1,44.524568,-109.06926,Wyoming,13896,5.008131836499681,7.377556002704864
12-127-5002,29.206667,-81.0525,Florida,16891,8.343614942868971,4.597182825086448
18-183-3,41.169646,-85.629292,Indiana,17297,10.097681678903834,10.059182058044316
39-61-6,39.2787,-84.36625,Ohio,16370,8.93701282834447,7.703128394130986
49-7-1003,39.59575,-110.770111,Utah,13555,3.7524898561416316,3.2314875354171404
6-73-1022,32.789565,-116.944308,Californi,12097,9.475613788542596,4.887221876581238
6-93-2001,41.726892,-122.633579,Californi,16033,10.064117757125928,21.928122817366763
13-215-8,32.521272,-84.944635,Georgia,17397,9.885531988273762,7.841553726308055
22-19-8,30.262347,-93.284906,Louisiana,15113,10.561324687355263,6.574281267540795
39-153-17,41.063526,-81.468956,Ohio,15884,8.749792243767374,9.39229373463066
39-17-15,39.49072,-84.36374,Ohio,6222,11.84279974284801,11.921049103960021
4-19-1028,32.29515,-110.9823,Arizona,16702,6.465752604478506,5.055881430481271
48-29-59,29.275381,-98.311692,Texas,16234,7.681624984600161,6.09342180059769
49-35-3015,40.777145,-111.945849,Utah,17462,8.111384721108717,7.293348441444011
56-13-232,43.081667,-107.549444,Wyoming,15406,3.3909515773075425,3.7333927290147906
29-95-34,39.104686,-94.57079,Missouri,17226,7.732050388946901,5.867380368923529
56-39-1013,44.373056,-110.830833,Wyoming,15532,3.7173577131084214,3.345697246089496
6-103-7,40.17093,-122.25556,Californi,16172,6.357049220875603,6.359453657247343
10-3-1008,39.577647,-75.603659,Delaware,15763,8.414597475099887,11.935500619953643
27-17-7417,46.713694,-92.511722,Minnesota,13657,5.433448048619754,7.25728842448548
33-1-2004,43.566122,-71.496335,New Hamps,16943,5.139916189576828,4.2341209653818295
36-81-124,40.73614,-73.82153,New York,17420,9.873157290470722,11.969449381169415
37-183-14,35.856111,-78.574167,North Car,13839,9.593012500903223,6.817982449943094
37-183-21,35.8652,-78.8197,North Car,16288,8.067976424361493,5.595023491264837
38-25-4,47.342423,-102.645864,North Dak,17026,7.561071302713499,11.614290448292293
4-13-4021,33.41046,-112.00264,Arizona,17146,7.829686224192205,6.216537600014455
42-5-1,40.814183,-79.56475,Pennsylva,17226,9.295820271682382,9.203913217922645
47-157-75,35.151699,-89.850249,Tennessee,14432,9.348198447893578,5.454899551962825
37-119-48,35.281791,-80.851473,North Car,16068,8.674458551157585,6.390514973967328
42-29-100,39.834461,-75.768242,Pennsylva,17319,9.078133841445823,11.157023149872696
55-59-19,42.50472,-87.8093,Wisconsin,17118,8.608657553452502,8.977164648643422
6-1-9,37.743065,-122.169935,Californi,17071,7.515084060687716,6.132914961093015
6-65-8001,33.99958,-117.41601,Californi,16410,10.898561852528688,8.052642425760476
1-27-1,33.284928,-85.803608,Alabama,7555,8.52467240238254,5.837880383677999
18-97-78,39.810833,-86.114444,Indiana,17199,11.604157218442959,11.626582531947529
27-53-962,44.965242,-93.254759,Minnesota,16991,9.513077511623766,9.475332474166429
34-21-8,40.222411,-74.763167,New Jerse,16454,9.026419107815892,10.535864620425563
47-113-10,35.705319,-88.81964,Tennessee,16462,8.651907423156368,5.559532369223516
48-37-1031,33.436111,-94.07778,Texas,15803,10.635271783838517,6.761472315940984
48-61-6,25.892518,-97.49383,Texas,10028,8.789589150378939,7.012363052115762
53-65-5,48.544448,-117.903425,Washingto,16702,9.836726140581966,12.290541358010405
56-33-2,44.815142,-106.955933,Wyoming,14707,7.762222071122591,7.944447875441616
33-5-7,42.930521,-72.272332,New Hamps,16911,7.099308142629078,6.34216252877609
37-119-45,35.213171,-80.874084,North Car,16788,9.415594472242077,6.241631783275426
47-9-11,35.768847,-83.942152,Tennessee,15976,8.077772909364072,6.631406364411727
21-111-80,38.182435,-85.574361,Kentucky,17414,9.927518088893981,7.642178616487964
26-163-15,42.302778,-83.106667,Michigan,15106,12.062365947305635,7.996053458199956
27-83-4210,44.4438,-95.81789,Minnesota,17040,8.573573943661966,11.948584047487815
37-101-2,35.59095,-78.4622,North Car,16045,8.010246182611414,5.709382548532596
56-21-4,41.08536,-104.52277,Wyoming,6576,6.259154501216602,9.123508504797618
36-101-3,42.09142,-77.20978,New York,16270,7.429440688383513,12.06106483752891
38-101-3,47.940861,-101.571583,North Dak,17131,7.736956394839757,10.869948647098916
42-71-7,40.046667,-76.283333,Pennsylva,17189,10.746157426261052,12.696325642511319
42-95-25,40.628056,-75.341111,Pennsylva,17030,9.608479154433278,14.486326777077878
49-35-3010,40.78422,-111.931,Utah,17387,8.196480128831897,7.506837883633275
50-3-4,42.88759,-73.24984,Vermont,17314,6.221052327596173,6.3769554595141935
56-13-1003,42.842168,-108.736281,Wyoming,13231,8.173085934547641,8.722504953321465
6-53-1003,36.694261,-121.623271,Californi,16521,6.7781066521397015,5.596583028653722
6-53-8,36.209286,-121.126371,Californi,15936,5.364081325301205,4.577181094096921
1-3-10,30.497478,-87.880258,Alabama,7711,8.13227856309168,5.383844737635772
23-29-33,44.963894,-67.061325,Maine,12628,4.128682293316446,3.1502210324872553
29-21-5,39.741694,-94.858584,Missouri,16949,8.869874328868962,6.476521738928045
4-13-4003,33.40314,-112.07526,Arizona,16810,10.317132659131454,13.911025979758506
40-143-1127,36.204902,-95.976537,Oklahoma,16984,10.074264013188824,6.637843542621201
48-201-55,29.695729,-95.499219,Texas,14039,10.463722487356682,6.276335845177474
48-61-2004,26.0711,-97.1577,Texas,16461,11.370955592005373,9.200966666515605
51-3-1,38.07657,-78.50397,Virginia,16749,8.376189623261114,7.38808250504625
6-65-9,33.447867,-117.088649,Californi,16191,5.9710518189116435,3.889216192682448
6-95-4,38.102507,-122.237976,Californi,17087,6.87973313045005,6.4973628105507615
17-111-1,42.221442,-88.242207,Illinois,17128,9.86436828584774,10.132916404464309
17-157-1,38.176278,-89.788459,Illinois,17288,8.318301712170296,5.027909779197025
18-55-1,38.985477,-86.990419,Indiana,7739,9.261907223155486,10.521306093534765
39-17-22,39.478686,-84.397112,Ohio,6456,13.715628872366828,13.999450985399633
39-61-48,39.146025,-84.538375,Ohio,16795,9.923626079190209,8.354754765198143
39-81-17,40.3663,-80.6158,Ohio,17280,10.80839699074083,10.338549694809162
42-101-55,39.922867,-75.186921,Pennsylva,17219,10.04700040652763,12.326070019434283
48-303-1028,33.58553,-101.78698,Texas,15453,6.218727755128457,7.585324810732715
48-439-1053,32.664753,-97.337917,Texas,16993,8.89339728123345,6.310055810369377
6-1-16,37.68975,-121.77155,Californi,8249,6.426718390107892,5.5065205953730185
6-19-5001,36.819449,-119.716433,Californi,16385,10.076698199572817,8.346103598338958
6-37-4009,33.793713,-118.171019,Californi,14660,9.495381991814638,6.612789018585748
12-103-4,27.946688,-82.731767,Florida,17331,7.080601234781622,3.689654116268846
17-65-2,38.082155,-88.624943,Illinois,17441,8.83963648873346,6.045836715297176
18-89-34,41.653501,-87.435561,Indiana,17275,10.464069464544128,9.079546984019949
21-111-1041,38.23158,-85.82678,Kentucky,16924,9.984826282202851,6.752531236082226
46-29-2,44.89965,-97.128802,South Dak,16931,8.319910223849936,7.407512024452766
48-201-1034,29.767997,-95.220582,Texas,16627,10.52314909484577,6.86377921919243
48-453-1068,30.35386,-97.69166,Texas,16962,10.213318004952253,7.191044574466896
53-77-9,46.594952,-120.512283,Washingto,16877,9.267938614682704,11.170711961868502
55-63-12,43.7775,-91.2269,Wisconsin,16846,8.610874985159729,8.542097063610944
6-29-19,35.046528,-118.162833,Californi,8945,5.397764114030197,3.6320338470458715
80-2-14,32.633671,-115.504995,Country O,6481,21.735688936892455,25.441612637023656
12-9-7,28.053611,-80.628611,Florida,17251,7.370135064633922,4.292261412580834
18-95-11,40.125703,-85.652184,Indiana,17140,9.609766627771279,9.196308164026778
18-97-87,39.787933,-86.13088,Indiana,17311,13.298792675177564,12.041068096282055
37-159-21,35.551868,-80.395039,North Car,16111,8.802557259015579,6.751751891842304
27-171-3201,45.20916,-93.66921,Minnesota,16433,8.261699020264155,8.657146404601276
38-65-2,47.185833,-101.428056,North Dak,17129,8.576274154941878,11.451275089714809
39-35-38,41.477011,-81.682383,Ohio,17378,11.293411209575291,10.63349661444349
44-9-7,41.49511,-71.423705,Rhode Isl,15441,5.476458778576517,5.315314739034819
6-101-3,39.138773,-121.618549,Californi,17139,9.723210222299944,8.609495699984432
23-17-2011,44.551419,-70.546319,Maine,15485,5.8408782692928645,5.886004421777685
25-15-4002,42.298493,-72.334079,Massachus,16626,6.687260916636621,5.869424184908142
31-67-5,40.285,-96.824166,Nebraska,13842,6.62279294899586,7.480327685176883
48-29-32,29.51509,-98.620166,Texas,16179,8.996804499660056,6.755359244772893
49-35-4002,40.662961,-111.901851,Utah,17433,9.719560603453212,8.255171623080617
53-61-20,48.2469,-121.6031,Washingto,14848,9.375336745689655,21.28821430236036
6-61-6,38.74643,-121.26498,Californi,16618,7.784089541461066,6.55208743445455
17-167-12,39.831921,-89.644164,Illinois,16867,9.865370249599895,9.485132951642198
26-163-1,42.228611,-83.208333,Michigan,16318,9.958928790292928,10.659552388489628
27-137-7001,47.523355,-92.536305,Minnesota,16275,6.608104454685082,6.7897655970312645
48-245-22,29.863957,-94.317802,Texas,14747,8.845270224452433,6.753247771182574
49-13-2,40.294178,-110.009732,Utah,17388,7.338146997929565,7.265765635308305
55-87-9,44.30738,-88.39509,Wisconsin,17371,9.172292901963061,10.154445313187793
6-1-12,37.793624,-122.263376,Californi,17013,9.196908246634926,7.182082974865422
6-19-11,36.78538,-119.77321,Californi,16208,11.825419545903268,10.603966409145533
6-25-5,32.67618,-115.48307,Californi,16711,10.389144874633484,11.258492880123557
6-67-5003,38.494475,-121.211131,Californi,15892,6.324251195570098,5.819036663440779
27-137-7554,46.743657,-92.165998,Minnesota,14785,7.023422387554937,7.364627394722304
30-63-24,46.842181,-114.021499,Montana,14693,7.150146328183939,9.720991710642185
34-39-4,40.64144,-74.208365,New Jerse,16977,10.635300700948326,9.842558901697442
39-145-13,38.754599,-82.91701,Ohio,7160,10.085418994413402,9.794198659621637
48-135-1014,31.870259,-102.334745,Texas,16832,7.42163735741445,6.417799962508049
8-31-2,39.751184,-104.987625,Colorado,15364,7.6767964071856385,6.943474072031295
1-101-1002,32.412811,-86.263394,Alabama,7150,10.63896503496504,6.268564476278923
15-1-2020,19.117561,-155.778136,Hawaii,14105,4.812336051045729,3.9694152390832524
21-145-1027,37.08727,-88.60801,Kentucky,8419,9.163914954270114,5.891811059257065
21-227-9,37.04926,-86.21487,Kentucky,17405,8.229514507325497,5.705273764184537
29-510-94,38.63114,-90.28115,Missouri,17395,8.937964932451964,6.415260099597454
35-1-23,35.1343,-106.5852,New Mexic,17258,5.689517904739836,3.8794949650447474
45-25-1,34.615367,-80.198787,South Car,12379,7.9324662735277895,7.022562038860777
6-111-3001,34.25239,-119.143182,Californi,16056,6.860176880916791,4.500825884264429
6-27-1023,37.362137,-118.417478,Californi,17138,9.732810129536752,12.633886214055678
6-57-5,39.233477,-121.055608,Californi,15326,6.10475662273263,14.032696759777032
17-197-1002,41.526885,-88.116474,Illinois,17198,10.534323758576605,11.009751419168124
25-11-2005,42.605816,-72.596689,Massachus,17286,7.852233020941784,7.069375661819471
26-139-5,42.894444,-85.852778,Michigan,16363,10.09900996149852,11.179645851138858
37-57-2,35.8145,-80.2627,North Car,16716,9.37604690117253,6.98688215417069
42-59-2,39.80933,-80.26567,Pennsylva,10156,7.291226860968865,4.073910318048128
49-49-5010,40.136378,-111.657936,Utah,17288,7.20192040721887,6.075768277138876
10-3-1007,39.551279,-75.732015,Delaware,16345,8.880342612419682,11.679889543799048
13-21-12,32.805264,-83.543493,Georgia,16806,9.45409972628826,6.213229795241539
15-3-1001,21.30758,-157.85542,Hawaii,16298,4.150300650386563,3.740183310034681
17-161-3002,41.514727,-90.51735,Illinois,17295,10.0690951141948,10.551109156732887
19-153-30,41.603159,-93.643118,Iowa,17210,8.05735037768739,7.848085469271443
21-47-6,36.91171,-87.323337,Kentucky,17246,9.398851907688744,6.205061567448693
26-91-7,41.995568,-83.946559,Michigan,15856,9.524987386478328,7.852702142349085
27-137-7550,46.81826,-92.08936,Minnesota,15250,6.595239344262279,7.489541593841402
41-39-59,44.067224,-123.141352,Oregon,16364,9.210419212906325,11.420738636762541
6-111-2002,34.276316,-118.683685,Californi,17001,6.880183518616552,4.987082925668611
6-53-2,36.48187,-121.73333,Californi,14732,4.728957371707847,4.260306193767616
12-31-108,30.262778,-81.606833,Florida,16981,8.684930216123908,5.039547566269388
12-31-99,30.354722,-81.547778,Florida,8568,7.769234360410811,4.928698688016444
19-113-40,41.97677,-91.68766,Iowa,17211,10.476468537563184,10.132373857390052
29-510-93,38.656479,-90.189868,Missouri,17368,9.751715799170885,8.165122678601142
31-177-2,41.551211,-96.146175,Nebraska,14387,6.427538750260652,6.817501506142909
46-65-3,44.373786,-100.287269,South Dak,12520,5.432827476038398,13.65719440496055
6-27-1018,36.595556,-118.049167,Californi,13741,5.1919656502438345,5.4196261292158825
1-73-1010,33.545278,-86.549167,Alabama,16495,9.973313125189483,6.081069826626769
27-145-3052,45.549839,-94.13345,Minnesota,14972,8.990221747261593,8.924934688015657
30-17-5,46.411389,-105.812778,Montana,15271,7.781265143081634,13.261937573725556
42-11-11,40.38335,-75.9686,Pennsylva,17411,9.347584860145874,13.541844919014808
44-7-40,41.771987,-71.427881,Rhode Isl,10521,8.229160726166715,6.34486179866997
55-35-14,44.76249,-91.41445,Wisconsin,17445,8.717856119231891,8.57130038634374
30-81-7,46.243621,-114.158889,Montana,15690,8.141115360102024,14.072330944591654
32-3-561,36.163962,-115.11393,Nevada,17329,9.526268105487969,10.864549464300538
38-13-4,48.64193,-102.4018,North Dak,17219,8.69321679540044,12.672469338434553
53-11-24,45.64336,-122.58737,Washingto,16475,7.4435204855842185,8.671546240718495
28-49-20,32.329111,-90.182722,Mississip,16822,10.407603138746847,6.270621707850793
34-17-8,40.770908,-74.036218,New Jerse,14665,7.560668257756685,8.701301210810767
34-29-2002,39.994908,-74.170447,New Jerse,15577,7.564299929383109,10.74101169004826
41-67-5,45.3992,-122.7455,Oregon,8877,6.373977695167277,5.720703614734127
42-133-8,39.965278,-76.699444,Pennsylva,16348,9.972865182285293,12.531127897802033
42-3-3007,40.294341,-79.885331,Pennsylva,15293,9.132191198587558,8.814023356804835
6-111-1004,34.44806,-119.2313,Californi,16011,5.492848666541753,4.519787373271307
36-55-1007,43.14618,-77.54817,New York,17204,7.673017902813264,7.870284600699745
37-121-4,35.912487,-82.062082,North Car,16123,6.740060782732742,5.06763334799249
6-65-8005,33.99636,-117.4924,Californi,16827,12.231033458132774,9.034531053503539
12-11-33,26.073536,-80.33845,Florida,16704,6.729501915708804,4.212813346380427
12-11-35,26.132677,-80.169817,Florida,17344,9.789477629151301,5.431069681406646
30-31-17,44.657014,-111.089618,Montana,15395,3.5866190321532967,4.246399811947663
6-65-500,33.71969,-116.1897,Californi,14562,11.049594835874176,15.192746251828497
6-85-2,36.999571,-121.574684,Californi,15745,6.277548428072404,5.418799103600875
